state_code,state_name,probable_2025,confirmed_2025,incidence_2025,deaths_2025,cfr_2025,probable_2026,confirmed_2026,incidence_2026,deaths_2026,cfr_2026,total_confirmed
14,Jalisco,1836,664,7.56,2,0.3,7538,4439,49.42,2,0.05,5103
8,Chihuahua,6239,4495,113.36,21,0.47,193,38,0.87,0,,4533
7,Chiapas,540,247,4.03,1,0.4,1924,650,10.51,0,,897
9,Ciudad de México,979,47,0.53,1,2.13,1711,563,6.15,1,0.18,610
16,Michoacán,617,246,4.94,0,,474,140,2.75,1,0.71,386
12,Guerrero,429,261,7.04,0,,210,92,2.55,1,1.09,353
25,Sinaloa,226,90,2.75,0,,472,252,7.86,1,0.4,342
26,Sonora,332,113,3.48,1,0.88,447,168,5.3,0,,281
15,México,610,12,0.07,0,,907,239,1.34,0,,251
10,Durango,295,40,2.06,1,2.5,437,178,9.18,1,0.56,218
21,Puebla,123,0,0.0,0,,434,186,2.6,0,,186
6,Colima,85,32,3.79,0,,254,87,11.28,0,,119
23,Quintana Roo,76,2,0.1,0,,280,106,4.95,0,,108
27,Tabasco,91,4,0.15,0,,429,86,3.48,0,,90
5,Coahuila,305,55,1.61,0,,144,8,0.23,0,,63
2,Baja California,254,21,0.54,0,,412,26,0.62,0,,47
19,Nuevo León,297,2,0.03,0,,783,45,0.69,0,,47
22,Querétaro,163,12,0.49,0,,229,35,1.3,0,,47
18,Nayarit,100,6,0.44,0,,170,39,2.91,0,,45
30,Veracruz,261,0,0.0,0,,424,44,0.54,0,,44
17,Morelos,252,25,1.17,0,,180,16,0.77,0,,41
29,Tlaxcala,43,0,0.0,0,,140,39,2.66,1,2.56,39
20,Oaxaca,91,6,0.14,0,,105,24,0.55,0,,30
32,Zacatecas,163,22,1.28,0,,72,1,0.06,0,,23
31,Yucatán,67,2,0.08,0,,145,21,0.83,0,,23
3,Baja California Sur,68,8,0.91,0,,73,12,1.3,0,,20
24,San Luis Potosí,147,7,0.24,0,,95,11,0.37,0,,18
4,Campeche,99,14,1.3,0,,34,3,0.31,0,,17
13,Hidalgo,118,1,0.03,0,,169,16,0.48,0,,17
1,Aguascalientes,150,2,0.13,0,,216,13,0.83,0,,15
28,Tamaulipas,130,12,0.32,0,,91,0,0.0,0,,12
11,Guanajuato,543,4,0.06,0,,276,7,0.11,0,,11
