date,age_group,confirmed_cases,incidence_rate
2026-01-05,<1,661,39.53
2026-01-05,1-4,977,11.4
2026-01-05,5-9,710,6.71
2026-01-05,10-14,544,4.97
2026-01-05,15-19,598,5.36
2026-01-05,20-24,632,5.76
2026-01-05,25-29,724,6.71
2026-01-05,30-34,593,5.61
2026-01-05,35-39,405,4.11
2026-01-05,40-44,228,2.57
2026-01-05,45-49,158,1.96
2026-01-05,50-54,107,1.4
2026-01-05,55-59,25,0.38
2026-01-05,60-64,8,0.14
2026-01-05,65+,4,0.03
2026-01-12,<1,683,40.84
2026-01-12,1-4,1023,11.94
2026-01-12,5-9,762,7.2
2026-01-12,10-14,595,5.44
2026-01-12,15-19,626,5.61
2026-01-12,20-24,669,6.09
2026-01-12,25-29,752,6.97
2026-01-12,30-34,622,5.88
2026-01-12,35-39,428,4.35
2026-01-12,40-44,238,2.69
2026-01-12,45-49,167,2.07
2026-01-12,50-54,116,1.52
2026-01-12,55-59,27,0.41
2026-01-12,60-64,9,0.16
2026-01-12,65+,4,0.03
2026-01-19,<1,711,42.52
2026-01-19,1-4,1097,12.8
2026-01-19,5-9,836,7.9
2026-01-19,10-14,642,5.87
2026-01-19,15-19,670,6.01
2026-01-19,20-24,715,6.51
2026-01-19,25-29,794,7.36
2026-01-19,30-34,663,6.27
2026-01-19,35-39,452,4.59
2026-01-19,40-44,252,2.85
2026-01-19,45-49,174,2.16
2026-01-19,50-54,120,1.57
2026-01-19,55-59,28,0.42
2026-01-19,60-64,9,0.16
2026-01-19,65+,5,0.04
2026-01-26,<1,760,45.45
2026-01-26,1-4,1160,13.54
2026-01-26,5-9,909,8.58
2026-01-26,10-14,690,6.3
2026-01-26,15-19,709,6.36
2026-01-26,20-24,757,6.9
2026-01-26,25-29,829,7.69
2026-01-26,30-34,709,6.71
2026-01-26,35-39,475,4.82
2026-01-26,40-44,267,3.01
2026-01-26,45-49,182,2.26
2026-01-26,50-54,131,1.72
2026-01-26,55-59,31,0.47
2026-01-26,60-64,10,0.18
2026-01-26,65+,5,0.04
2026-02-02,<1,802,47.96
2026-02-02,1-4,1250,14.59
2026-02-02,5-9,1002,9.46
2026-02-02,10-14,771,7.04
2026-02-02,15-19,764,6.85
2026-02-02,20-24,799,7.28
2026-02-02,25-29,904,8.38
2026-02-02,30-34,789,7.46
2026-02-02,35-39,511,5.19
2026-02-02,40-44,298,3.36
2026-02-02,45-49,201,2.49
2026-02-02,50-54,141,1.85
2026-02-02,55-59,36,0.54
2026-02-02,60-64,12,0.22
2026-02-02,65+,8,0.07
2026-02-09,<1,843,50.41
2026-02-09,1-4,1327,15.48
2026-02-09,5-9,1088,10.28
2026-02-09,10-14,853,7.79
2026-02-09,15-19,813,7.29
2026-02-09,20-24,851,7.75
2026-02-09,25-29,963,8.93
2026-02-09,30-34,847,8.01
2026-02-09,35-39,559,5.68
2026-02-09,40-44,319,3.6
2026-02-09,45-49,219,2.71
2026-02-09,50-54,153,2.01
2026-02-09,55-59,42,0.63
2026-02-09,60-64,12,0.22
2026-02-09,65+,10,0.09
2026-02-17,<1,917,54.84
2026-02-17,1-4,1456,16.99
2026-02-17,5-9,1221,11.53
2026-02-17,10-14,977,8.93
2026-02-17,15-19,887,7.96
2026-02-17,20-24,959,8.74
2026-02-17,25-29,1128,10.46
2026-02-17,30-34,985,9.32
2026-02-17,35-39,669,6.79
2026-02-17,40-44,374,4.22
2026-02-17,45-49,250,3.1
2026-02-17,50-54,182,2.39
2026-02-17,55-59,52,0.78
2026-02-17,60-64,16,0.29
2026-02-17,65+,12,0.1
2026-02-26,<1,993,59.38
2026-02-26,1-4,1582,18.46
2026-02-26,5-9,1378,13.01
2026-02-26,10-14,1109,10.13
2026-02-26,15-19,984,8.83
2026-02-26,20-24,1092,9.95
2026-02-26,25-29,1302,12.07
2026-02-26,30-34,1172,11.09
2026-02-26,35-39,776,7.88
2026-02-26,40-44,433,4.89
2026-02-26,45-49,295,3.66
2026-02-26,50-54,204,2.67
2026-02-26,55-59,61,0.92
2026-02-26,60-64,22,0.4
2026-02-26,65+,16,0.14
2026-03-06,<1,1053,62.97
2026-03-06,1-4,1698,19.81
2026-03-06,5-9,1476,13.94
2026-03-06,10-14,1210,11.05
2026-03-06,15-19,1072,9.61
2026-03-06,20-24,1196,10.9
2026-03-06,25-29,1456,13.5
2026-03-06,30-34,1332,12.6
2026-03-06,35-39,891,9.05
2026-03-06,40-44,492,5.56
2026-03-06,45-49,339,4.2
2026-03-06,50-54,230,3.01
2026-03-06,55-59,69,1.04
2026-03-06,60-64,24,0.43
2026-03-06,65+,18,0.16
2026-03-13,<1,1100,65.78
2026-03-13,1-4,1782,20.79
2026-03-13,5-9,1569,14.82
2026-03-13,10-14,1284,11.73
2026-03-13,15-19,1143,10.25
2026-03-13,20-24,1286,11.72
2026-03-13,25-29,1569,14.55
2026-03-13,30-34,1433,13.55
2026-03-13,35-39,953,9.68
2026-03-13,40-44,535,6.04
2026-03-13,45-49,374,4.63
2026-03-13,50-54,259,3.39
2026-03-13,55-59,77,1.16
2026-03-13,60-64,26,0.47
2026-03-13,65+,18,0.16
2026-03-20,<1,1145,68.47
2026-03-20,1-4,1856,21.66
2026-03-20,5-9,1627,15.37
2026-03-20,10-14,1346,12.3
2026-03-20,15-19,1189,10.66
2026-03-20,20-24,1333,12.14
2026-03-20,25-29,1648,15.28
2026-03-20,30-34,1528,14.45
2026-03-20,35-39,1007,10.23
2026-03-20,40-44,561,6.33
2026-03-20,45-49,391,4.85
2026-03-20,50-54,279,3.66
2026-03-20,55-59,79,1.19
2026-03-20,60-64,29,0.52
2026-03-20,65+,18,0.16
